ID,GEN,PEN,MET,FUS,TEI,VAN,Ery,CLI,LIN,CIP,RIF,TET,TMP
14200_6#1,1,1,1,1,0,0,1,0,0,1,0,0,0
14200_6#10,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#11,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#12,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#13,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#14,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#15,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#16,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#17,0,1,1,1,0,0,1,0,0,1,0,0,0
14200_6#18,0,1,1,0,0,0,1,0,0,0,0,0,0
14200_6#19,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#2,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#20,0,1,1,0,0,0,1,0,0,1,0,1,0
14200_6#21,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#22,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#23,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#24,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#25,0,1,0,0,0,0,0,0,0,0,0,0,0
14200_6#26,0,1,1,1,0,0,1,0,0,1,0,0,0
14200_6#27,1,1,1,1,0,0,0,0,0,1,0,0,0
14200_6#28,0,1,1,0,0,0,0,0,0,1,0,0,1
14200_6#29,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#3,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#30,1,1,1,1,0,0,1,0,0,1,0,0,0
14200_6#31,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#32,0,1,1,0,0,0,1,0,0,1,0,1,0
14200_6#33,0,1,1,0,0,0,1,0,0,0,0,1,0
14200_6#34,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#35,1,1,1,1,0,0,1,0,0,1,0,1,0
14200_6#36,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#37,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#38,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_6#39,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#4,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#40,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#41,0,1,1,0,0,0,1,0,0,0,0,0,0
14200_6#42,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#43,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_6#44,0,1,1,1,0,0,1,0,0,1,0,0,0
14200_6#45,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#46,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_6#47,1,1,1,0,0,0,0,0,0,1,0,0,1
14200_6#48,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#49,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#5,1,1,1,0,0,0,0,0,0,0,0,0,0
14200_6#50,0,1,1,1,0,0,1,0,0,1,0,0,0
14200_6#53,0,1,1,1,0,0,1,0,0,0,0,0,0
14200_6#54,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#55,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#56,0,1,1,0,0,0,0,0,0,0,0,0,0
14200_6#57,0,1,1,0,0,0,1,0,0,1,0,1,0
14200_6#58,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#59,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#6,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#60,0,1,1,1,0,0,0,0,0,0,0,1,0
14200_6#61,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#62,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#63,0,1,1,0,0,0,0,0,0,0,0,0,1
14200_6#64,1,1,1,1,0,0,1,0,0,1,0,1,0
14200_6#65,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#66,0,1,1,1,0,0,1,0,0,1,0,0,0
14200_6#67,0,1,1,1,0,0,1,0,0,1,0,0,0
14200_6#68,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#69,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#7,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#70,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_6#71,1,1,1,1,0,0,1,0,0,1,0,0,0
14200_6#72,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_6#73,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#74,1,1,1,0,0,0,0,0,0,0,0,0,0
14200_6#75,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#76,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#77,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#78,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#79,1,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#8,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#80,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#81,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#82,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_6#83,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#84,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#85,0,1,1,1,0,0,0,0,0,0,0,0,1
14200_6#86,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#87,0,1,1,0,0,0,1,0,0,0,0,1,0
14200_6#88,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_6#89,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#9,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_6#90,0,1,1,1,0,0,0,0,0,1,0,0,1
14200_6#91,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#92,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#93,0,1,1,1,0,0,0,0,0,1,0,0,0
14200_6#94,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_6#95,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#1,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#10,0,1,1,0,0,0,1,0,0,0,0,1,0
14200_7#11,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#12,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#13,0,1,1,1,0,0,1,0,0,0,0,0,0
14200_7#14,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_7#15,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#16,0,1,1,0,0,0,1,0,0,0,0,1,0
14200_7#17,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_7#18,1,1,1,0,0,0,0,0,0,0,0,1,1
14200_7#19,1,1,1,1,0,0,1,0,0,1,0,0,0
